depth.ft,p1,p2,p3
4986.25,1,1,1
4989.5,0,1,1
5005.5,0,0,0
5016.75,0,0,1
5020.25,1,1,1
5036.75,0,0,0
5047,0,0,1
5054.25,1,1,1
5068,0,0,0
5077.25,0,0,1
5086,0,1,1
5088.5,1,1,1
5099,0,0,0
5107.5,0,0,1
5118,0,1,1
5122.75,1,1,1
5130,0,0,0
5137.5,0,0,1
5150.25,0,1,1
5152.75,0,0,0
5156.75,1,1,1
5161.25,0,0,0
5167.75,0,0,1
5182.5,0,1,1
5186,0,0,0
5190.75,1,1,1
5198,0,0,1
5214.75,0,1,1
5219.25,0,0,0
5224.75,1,1,1
5228,0,0,1
5247,0,1,1
5252.5,0,0,0
5259,1,1,1
5279,0,1,1
5285.75,0,0,0
5288.25,0,0,1
5293.25,1,1,1
5311.25,0,1,1
5318.5,0,0,1
5327.5,1,1,1
5343.25,0,1,1
5348.5,0,0,1
5351.75,0,0,0
5361.5,1,1,1
5375.5,0,1,1
5378.75,0,0,1
5385,0,0,0
5395.75,1,1,1
5407.5,0,1,1
5418.25,0,0,0
5429.75,1,1,1
5439.75,0,1,1
5451.5,0,0,0
5463.75,1,1,1
5469,0,0,1
5471.75,0,1,1
5484.5,0,0,0
5498,1,1,1
5504,0,1,1
5517.5,0,0,0
5529.25,0,0,1
5532,1,1,1
5536,0,1,1
5550.5,0,0,0
5559.5,0,0,1
5566,1,1,1
5568.25,0,1,1
5583.75,0,0,0
5589.75,0,0,1
5597,0,0,0
5600.25,1,1,1
5616.75,0,0,0
5620,0,0,1
5628,0,0,0
5634.25,1,1,1
5650,0,0,1
5659.25,0,0,0
5664.75,0,1,1
5668.5,1,1,1
5680,0,0,1
5683,0,0,0
5690.5,0,0,0
5696.75,0,1,1
5702.75,1,1,1
5710.25,0,0,1
5716.25,0,0,0
5721.5,0,0,0
5728.75,0,1,1
5736.75,1,1,1
5740.25,0,0,1
5749.5,0,0,0
5752.75,0,0,0
5761,0,1,1
5771,1,1,1
5782.75,0,0,0
5793.25,0,1,1
5800.75,0,0,1
5805,1,1,1
5815.75,0,0,0
5825.25,0,1,1
5830.75,0,0,1
5839.25,1,1,1
5846,0,0,0
5849,0,0,0
5857.5,0,1,1
5861,0,0,1
5873.5,1,1,1
5877.25,0,0,0
5882,0,0,0
5889.75,0,1,1
5907.5,1,1,1
5915,0,0,0
5921.75,0,1,1
5939.5,0,0,0
5941.5,1,1,1
5948.25,0,0,0
5951.25,0,0,1
5954,0,1,1
5970.5,0,0,0
5975.75,1,1,1
5981.5,0,0,1
5986,0,1,1
6001.75,0,0,0
6009.75,1,1,1
6014.25,0,0,0
6018.25,0,1,1
6033,0,0,0
6041.75,0,0,1
6044,1,1,1
6047.5,0,0,0
6050.25,0,1,1
6064,0,0,0
6072,0,0,1
6078.25,1,1,1
6082.25,0,1,1
6095,0,0,0
6102,0,0,1
6112.25,1,1,1
6114.5,0,1,1
6126,0,0,0
6132.25,0,0,1
6146.25,1,1,1
6157.25,0,0,0
6162.25,0,0,1
6180.25,1,1,1
6188.25,0,0,0
6192.5,0,0,1
6210.75,0,1,1
6214.5,1,1,1
6219.5,0,0,0
6222.5,0,0,1
6243,0,1,1
6246.5,0,0,0
6248.75,1,1,1
6252.75,0,0,1
6275.25,0,1,1
6279.5,0,0,0
6282.75,1,1,1
6307.5,0,1,1
6313,0,0,1
6317,1,1,1
6339.5,0,1,1
6343.25,0,0,1
6345.75,0,0,0
6351,1,1,1
6371.5,0,1,1
6379,0,0,0
6385,1,1,1
6403.75,0,1,1
6406.25,0,0,0
6412.25,0,0,0
6419,1,1,1
6433.5,0,0,1
6436,0,1,1
6445.25,0,0,0
